high_by_point_n,low_by_point_n,high_by_point_n_on_trend,low_by_point_n_on_trend,high_by_point_m,low_by_point_m,high_by_point_m_on_trend,low_by_point_m_on_trend,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count
7,10,9,7,7,10,9,7,4.82,574.68,10.08,57
7,10,9,8,7,10,9,8,4.27,549.72,9.48,58
7,10,9,9,7,10,9,9,4.77,567.23,10.31,55
7,10,9,10,7,10,9,10,5.41,579.21,11.36,51
7,10,10,4,7,10,10,4,4.07,571.5,8.66,66
7,10,10,5,7,10,10,5,3.94,490.26,8.6,57
7,10,10,6,7,10,10,6,3.8,545.91,8.67,63
7,10,10,7,7,10,10,7,4.82,574.68,10.08,57
7,10,10,8,7,10,10,8,4.27,549.72,9.48,58
7,10,10,9,7,10,10,9,4.77,567.23,10.31,55
7,10,10,10,7,10,10,10,5.41,579.21,11.36,51
8,4,4,4,8,4,4,4,2.56,435.4,5.18,84
8,4,4,5,8,4,4,5,2.18,344.35,4.36,79
8,4,4,6,8,4,4,6,2.42,406.91,5.09,80
8,4,4,7,8,4,4,7,2.4,395.29,5.0,79
8,4,4,8,8,4,4,8,2.37,387.84,5.04,77
8,4,4,9,8,4,4,9,2.37,387.84,5.04,77
8,4,4,10,8,4,4,10,2.37,387.84,5.04,77
8,4,5,4,8,4,5,4,2.68,443.68,5.55,80
8,4,5,5,8,4,5,5,2.27,352.64,4.7,75
8,4,5,6,8,4,5,6,2.44,405.03,5.19,78
8,4,5,7,8,4,5,7,2.41,393.42,5.11,77
8,4,5,8,8,4,5,8,2.39,385.96,5.15,75
8,4,5,9,8,4,5,9,2.39,385.96,5.15,75
8,4,5,10,8,4,5,10,2.39,385.96,5.15,75
8,4,6,4,8,4,6,4,2.68,443.68,5.55,80
8,4,6,5,8,4,6,5,2.27,352.64,4.7,75
8,4,6,6,8,4,6,6,2.44,405.03,5.19,78
8,4,6,7,8,4,6,7,2.41,393.42,5.11,77
8,4,6,8,8,4,6,8,2.39,385.96,5.15,75
8,4,6,9,8,4,6,9,2.39,385.96,5.15,75
8,4,6,10,8,4,6,10,2.39,385.96,5.15,75
8,4,7,4,8,4,7,4,2.76,451.28,5.71,79
8,4,7,5,8,4,7,5,2.34,360.23,4.87,74
8,4,7,6,8,4,7,6,2.5,412.62,5.36,77
8,4,7,7,8,4,7,7,2.48,401.01,5.28,76
8,4,7,8,8,4,7,8,2.45,393.56,5.32,74
8,4,7,9,8,4,7,9,2.45,393.56,5.32,74
8,4,7,10,8,4,7,10,2.45,393.56,5.32,74
8,4,8,4,8,4,8,4,2.76,451.28,5.71,79
8,4,8,5,8,4,8,5,2.24,334.09,4.58,73
8,4,8,6,8,4,8,6,2.5,412.62,5.36,77
8,4,8,7,8,4,8,7,2.48,401.01,5.28,76
8,4,8,8,8,4,8,8,2.45,393.56,5.32,74
8,4,8,9,8,4,8,9,2.45,393.56,5.32,74
8,4,8,10,8,4,8,10,2.45,393.56,5.32,74
8,4,9,4,8,4,9,4,2.76,451.28,5.71,79
8,4,9,5,8,4,9,5,2.24,334.09,4.58,73
8,4,9,6,8,4,9,6,2.5,412.62,5.36,77
8,4,9,7,8,4,9,7,2.48,401.01,5.28,76
8,4,9,8,8,4,9,8,2.45,393.56,5.32,74
8,4,9,9,8,4,9,9,2.45,393.56,5.32,74
8,4,9,10,8,4,9,10,2.45,393.56,5.32,74
8,4,10,4,8,4,10,4,2.8,454.8,5.83,78
8,4,10,5,8,4,10,5,2.27,337.62,4.69,72
8,4,10,6,8,4,10,6,2.54,416.15,5.48,76
8,4,10,7,8,4,10,7,2.51,404.54,5.39,75
8,4,10,8,8,4,10,8,2.49,397.08,5.44,73
8,4,10,9,8,4,10,9,2.49,397.08,5.44,73
8,4,10,10,8,4,10,10,2.49,397.08,5.44,73
8,5,4,4,8,5,4,4,2.69,443.79,5.48,81
8,5,4,5,8,5,4,5,2.3,366.95,4.59,80
8,5,4,6,8,5,4,6,2.51,425.63,5.25,81
8,5,4,7,8,5,4,7,2.49,414.02,5.18,80
8,5,4,8,8,5,4,8,2.5,410.44,5.26,78
8,5,4,9,8,5,4,9,2.46,406.56,5.21,78
8,5,4,10,8,5,4,10,2.58,414.96,5.53,75
8,5,5,4,8,5,5,4,2.82,452.08,5.87,77
8,5,5,5,8,5,5,5,2.4,375.24,4.94,76
8,5,5,6,8,5,5,6,2.74,445.14,5.86,76
8,5,5,7,8,5,5,7,2.72,433.53,5.78,75
8,5,5,8,8,5,5,8,2.52,408.57,5.38,76
8,5,5,9,8,5,5,9,2.69,426.07,5.84,73
8,5,5,10,8,5,5,10,2.84,434.47,6.21,70
8,5,6,4,8,5,6,4,2.82,452.08,5.87,77
8,5,6,5,8,5,6,5,2.4,375.24,4.94,76
8,5,6,6,8,5,6,6,2.74,445.14,5.86,76
8,5,6,7,8,5,6,7,2.72,433.53,5.78,75
8,5,6,8,8,5,6,8,2.52,408.57,5.38,76
8,5,6,9,8,5,6,9,2.69,426.07,5.84,73
8,5,6,10,8,5,6,10,2.84,434.47,6.21,70
8,5,7,4,8,5,7,4,2.91,459.67,6.05,76
8,5,7,5,8,5,7,5,2.47,382.83,5.1,75
8,5,7,6,8,5,7,6,2.82,452.73,6.04,75
8,5,7,7,8,5,7,7,2.81,441.12,5.96,74
8,5,7,8,8,5,7,8,2.59,416.16,5.55,75
8,5,7,9,8,5,7,9,2.78,433.67,6.02,72
8,5,7,10,8,5,7,10,2.93,442.06,6.41,69
8,5,8,4,8,5,8,4,2.91,459.67,6.05,76
8,5,8,5,8,5,8,5,2.37,356.7,4.82,74
8,5,8,6,8,5,8,6,2.82,452.73,6.04,75
8,5,8,7,8,5,8,7,2.81,441.12,5.96,74
8,5,8,8,8,5,8,8,2.59,416.16,5.55,75
8,5,8,9,8,5,8,9,2.78,433.67,6.02,72
8,5,8,10,8,5,8,10,2.93,442.06,6.41,69
8,5,9,4,8,5,9,4,2.91,459.67,6.05,76
8,5,9,5,8,5,9,5,2.37,356.7,4.82,74
8,5,9,6,8,5,9,6,2.82,452.73,6.04,75
8,5,9,7,8,5,9,7,2.81,441.12,5.96,74
8,5,9,8,8,5,9,8,2.59,416.16,5.55,75
8,5,9,9,8,5,9,9,2.78,433.67,6.02,72
8,5,9,10,8,5,9,10,2.93,442.06,6.41,69
8,5,10,4,8,5,10,4,2.95,463.2,6.18,75
8,5,10,5,8,5,10,5,2.4,360.23,4.93,73
8,5,10,6,8,5,10,6,2.87,456.26,6.17,74
8,5,10,7,8,5,10,7,2.85,444.65,6.09,73
