datetime,open,high,low,close,volume,openinterest,normal_high_by_point,normal_low_by_point,trending_high_by_point,trending_low_by_point,close_average_percent,is_ma_trending,maybe_buy_signal,maybe_two_by_zero_signal,maybe_dl_break_signal,bar_count_at_signal,slow_ma_distr_percent,fast_ma_distr_percent,trsi,low_trsi,is_dtpl
07/03/2024 10:00,62135.46,62285.94,59400,60208.58,32160.11127,0,,,,,2.008489102,0,-1,-1,-1,0,97.5,54,35.91960632,35.91960632,0
07/04/2024 10:00,60208.57,60498.19,56771,57050.01,54568.77276,0,,,,,2.019968339,0,-1,-1,-1,0,100,91.5,28.8558703,28.8558703,0
07/05/2024 10:00,57050.02,57546,53485.93,56628.79,81348.24756,0,,,,,2.035514771,0,-1,-1,-1,0,99.5,98.5,28.06328758,28.06328758,0
07/06/2024 10:00,56628.79,58475,56018,58230.13,21651.31558,0,,,63861.76,,2.023699969,0,1,-1,-1,5,99,94,35.33503404,28.06328758,0
07/07/2024 10:00,58230.13,58449.46,55724.37,55857.81,19118.93918,0,,,,,2.033363624,0,-1,-1,1,5,100,98.5,30.42783576,28.06328758,0
07/08/2024 10:00,55857.81,58236.73,54260.16,56714.62,48090.2049,0,,,,,2.037259472,0,-1,-1,-1,0,98,89.5,33.99326859,30.42783576,0
07/09/2024 10:00,56714.61,58296,56289.45,58050,27732.20788,0,,,,53485.93,2.042720714,0,-1,-1,-1,0,97,39.5,39.22124445,30.42783576,0
07/10/2024 10:00,58050,59470,57157.79,57725.85,24951.73799,0,,,,,2.05327104,0,-1,-1,-1,0,96,36.5,38.42564881,33.99326859,0
07/11/2024 10:00,57725.85,59650,57050,57339.89,29761.05735,0,,,,,2.053028167,0,-1,-1,-1,0,97.5,64,37.45150897,37.45150897,0
07/12/2024 10:00,57339.89,58526.68,56542.47,57889.1,23652.4569,0,,,,,2.048240491,0,-1,-1,-1,0,95.5,30.5,39.79059011,37.45150897,0
07/13/2024 10:00,57889.09,59850,57756.63,59204.02,15357.74519,0,,53485.93,,,2.046230198,0,-1,-1,-1,0,94.5,28.5,45.08552768,37.45150897,0
07/14/2024 10:00,59204.01,61420.69,59194.01,60797.91,21178.33907,0,,,,,2.045342195,0,-1,-1,-1,0,95,26,50.74049634,39.79059011,0
07/15/2024 10:00,60797.91,64900,60632.3,64724.14,38690.9782,0,,,,,2.047982875,0,-1,-1,-1,0,90,3,61.30980118,45.08552768,0
07/16/2024 10:00,64724.06,65388.97,62373.24,65043.99,42530.52915,0,,,,,2.070312207,0,-1,-1,-1,0,86.5,2,62.02464883,50.74049634,0
07/17/2024 10:00,65044,66128.63,63854,64087.99,29567.52954,0,,,,,2.06694701,0,-1,-1,-1,0,83,6,58.54300937,58.54300937,0
07/18/2024 10:00,64087.99,65133.3,63238.48,63987.92,22568.7225,0,,,,,2.073424295,0,-1,-1,-1,0,83,16,58.17489247,58.17489247,0
07/19/2024 10:00,63987.92,67386,63300.67,66660,35634.72739,0,,,,,2.072504745,0,-1,-1,-1,0,70.5,9.5,64.57953901,58.17489247,0
07/20/2024 10:00,66660.01,67598,66222.46,67139.96,14386.92434,0,,,,,2.070964616,0,-1,-1,-1,0,67.5,33.5,65.59854146,58.17489247,0
07/21/2024 10:00,67139.97,68366.66,65777,68165.34,21819.11191,0,,,,,2.065880115,0,-1,-1,-1,0,56,27.5,67.73418211,64.57953901,0
07/22/2024 10:00,68165.35,68474.55,66559.97,67532.01,21451.04303,0,,,,,2.05013667,0,-1,-1,-1,0,61.5,25.5,65.04812046,65.04812046,0
07/23/2024 10:00,67532,67750.98,65441.08,65936.01,31406.15316,0,,,,,2.039542827,0,-1,-1,-1,0,63,37.5,58.727797,58.727797,0
07/24/2024 10:00,65936,67102.01,65111,65376,23082.56277,0,,,,,2.05129161,0,-1,-1,-1,0,60.5,68,56.64792718,56.64792718,0
07/25/2024 10:00,65376.01,66175.49,63456.7,65799.95,35126.42934,0,,,,,2.053535854,0,1,-1,-1,3,59.5,69,57.86451641,56.64792718,0
07/26/2024 10:00,65799.95,68200,65722.63,67907.99,24244.36023,0,,,,,2.056331339,0,1,-1,-1,4,51.5,55,63.36916732,56.64792718,0
07/27/2024 10:00,67908,69399.99,66650,67896.5,31710.21921,0,,,,,2.037953268,0,-1,-1,1,4,50.5,49,63.32061021,57.86451641,0
07/28/2024 10:00,67896.49,68318.43,67066.66,68249.88,10868.69394,0,,,,,2.029081303,0,-1,-1,-1,0,45,33,64.22847023,63.32061021,0
07/29/2024 10:00,68249.88,70079.99,66428,66784.69,36467.29633,0,,,,63456.7,2.025784818,0,-1,-1,-1,0,49,39.5,57.83649058,57.83649058,0
07/30/2024 10:00,66784.68,67000,65302.67,66188,23132.25441,0,,,,,2.033144734,0,-1,-1,-1,0,50.5,49,55.41771318,55.41771318,0
07/31/2024 10:00,66188,66849.24,64530,64628,22625.43905,0,,,,,1.999238085,0,-1,-1,-1,0,56,83.5,49.57978039,49.57978039,0
