high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,4,4,14,14,7,14,1.1,0.01,FALSE,5.99,532.26,12.67,42,64.29,23.66,-7.11
4,4,4,4,14,14,7,14,1.3,0.01,FALSE,6.01,501.77,11.95,42,64.29,22.29,-6.68
4,4,4,4,14,14,14,4,1.1,0.01,FALSE,4.98,587.28,11.99,49,65.31,22.96,-8.68
4,4,4,4,14,14,14,4,1.3,0.01,FALSE,4.96,552.96,11.28,49,65.31,21.64,-8.21
4,4,4,4,14,14,14,7,1.1,0.01,FALSE,3.12,451.42,8.85,51,54.9,23.73,-9.26
4,4,4,4,14,14,14,7,1.3,0.01,FALSE,3.13,426.11,8.36,51,54.9,22.38,-8.72
4,4,4,4,14,14,14,14,1.1,0.01,FALSE,7.35,550.8,17.21,32,65.62,30.36,-7.88
4,4,4,4,14,14,14,14,1.3,0.01,FALSE,7.41,521.91,16.31,32,65.62,28.73,-7.4
4,4,4,7,4,4,4,4,1.1,0.01,FALSE,4.1,544.84,8.65,63,60.32,18.96,-7.03
4,4,4,7,4,4,4,4,1.3,0.01,FALSE,4.1,506.4,8.04,63,60.32,17.62,-6.53
4,4,4,7,4,4,4,7,1.1,0.01,FALSE,4.68,709.12,9.45,75,64,18.79,-7.14
4,4,4,7,4,4,4,7,1.3,0.01,FALSE,4.68,658.86,8.78,75,64,17.46,-6.64
4,4,4,7,4,4,4,14,1.1,0.01,FALSE,4.22,728.6,9.34,78,60.26,20.32,-7.3
4,4,4,7,4,4,4,14,1.3,0.01,FALSE,4.21,680.15,8.72,78,60.26,18.98,-6.83
4,4,4,7,4,4,7,4,1.1,0.01,FALSE,3.98,588.27,7.95,74,62.16,17.07,-7.04
4,4,4,7,4,4,7,4,1.3,0.01,FALSE,3.98,546.59,7.39,74,62.16,15.86,-6.54
4,4,4,7,4,4,7,7,1.1,0.01,FALSE,4.15,586.55,8.89,66,62.12,18.85,-7.45
4,4,4,7,4,4,7,7,1.3,0.01,FALSE,4.15,544.81,8.25,66,62.12,17.51,-6.92
4,4,4,7,4,4,7,14,1.1,0.01,FALSE,4.54,611.21,10.02,61,63.93,20.1,-7.85
4,4,4,7,4,4,7,14,1.3,0.01,FALSE,4.54,570.4,9.35,61,63.93,18.76,-7.33
4,4,4,7,4,4,14,4,1.1,0.01,FALSE,4.95,687.8,10.42,66,65.15,20.04,-7.57
4,4,4,7,4,4,14,4,1.3,0.01,FALSE,4.94,641.84,9.72,66,65.15,18.71,-7.08
4,4,4,7,4,4,14,7,1.1,0.01,FALSE,3.43,560.7,8.76,64,59.38,20.82,-8.87
4,4,4,7,4,4,14,7,1.3,0.01,FALSE,3.43,523.06,8.17,64,59.38,19.44,-8.29
4,4,4,7,4,4,14,14,1.1,0.01,FALSE,4.51,622.63,10.92,57,63.16,22.22,-8.44
4,4,4,7,4,4,14,14,1.3,0.01,FALSE,4.51,583.53,10.24,57,63.16,20.83,-7.93
4,4,4,7,4,7,4,4,1.1,0.01,FALSE,4.59,556.98,10.13,55,58.18,22.25,-6.74
4,4,4,7,4,7,4,4,1.3,0.01,FALSE,4.59,517.51,9.41,55,58.18,20.67,-6.26
4,4,4,7,4,7,4,7,1.1,0.01,FALSE,4.27,668.23,8.91,75,62.67,18.57,-7.3
4,4,4,7,4,7,4,7,1.3,0.01,FALSE,4.27,620.61,8.27,75,62.67,17.24,-6.78
4,4,4,7,4,7,4,14,1.1,0.01,FALSE,3.75,637.31,9.1,70,58.57,21.2,-8
4,4,4,7,4,7,4,14,1.3,0.01,FALSE,3.75,595.09,8.5,70,58.57,19.8,-7.47
4,4,4,7,4,7,7,4,1.1,0.01,FALSE,3.98,556.44,8.18,68,58.82,18.59,-6.68
4,4,4,7,4,7,7,4,1.3,0.01,FALSE,3.98,516.78,7.6,68,58.82,17.26,-6.2
4,4,4,7,4,7,7,7,1.1,0.01,FALSE,4.43,556.6,9.94,56,58.93,21.79,-7.06
4,4,4,7,4,7,7,7,1.3,0.01,FALSE,4.42,516.73,9.23,56,58.93,20.23,-6.56
4,4,4,7,4,7,7,14,1.1,0.01,FALSE,5.13,607.63,10.85,56,62.5,21.57,-7.01
4,4,4,7,4,7,7,14,1.3,0.01,FALSE,5.13,567.53,10.13,56,62.5,20.14,-6.54
4,4,4,7,4,7,14,4,1.1,0.01,FALSE,4.43,644,10.06,64,60.94,21.33,-7.51
4,4,4,7,4,7,14,4,1.3,0.01,FALSE,4.43,601.3,9.4,64,60.94,19.92,-7.02
4,4,4,7,4,7,14,7,1.1,0.01,FALSE,3.79,571.11,9.36,61,59.02,21.54,-8.18
4,4,4,7,4,7,14,7,1.3,0.01,FALSE,3.8,533.37,8.74,61,59.02,20.12,-7.63
4,4,4,7,4,7,14,14,1.1,0.01,FALSE,5.15,604.46,12.86,47,59.57,26.79,-7.66
4,4,4,7,4,7,14,14,1.3,0.01,FALSE,5.17,567.68,12.08,47,59.57,25.14,-7.17
4,4,4,7,4,14,4,4,1.1,0.01,FALSE,4.04,575.48,10.1,57,56.14,23.9,-7.57
4,4,4,7,4,14,4,4,1.3,0.01,FALSE,4.04,536.91,9.42,57,56.14,22.3,-7.07
4,4,4,7,4,14,4,7,1.1,0.01,FALSE,3.64,650.91,8.68,75,60,19.95,-8.23
4,4,4,7,4,14,4,7,1.3,0.01,FALSE,3.63,607.54,8.1,75,60,18.63,-7.69
4,4,4,7,4,14,4,14,1.1,0.01,FALSE,3.12,597.2,8.53,70,55.71,22.54,-9.09
4,4,4,7,4,14,4,14,1.3,0.01,FALSE,3.11,558.71,7.98,70,55.71,21.13,-8.56
4,4,4,7,4,14,7,4,1.1,0.01,FALSE,3.66,575.28,8.59,67,58.21,20.3,-7.73
4,4,4,7,4,14,7,4,1.3,0.01,FALSE,3.65,536.68,8.01,67,58.21,18.95,-7.22
4,4,4,7,4,14,7,7,1.1,0.01,FALSE,3.88,576.19,9.77,59,57.63,22.83,-8
4,4,4,7,4,14,7,7,1.3,0.01,FALSE,3.88,537.27,9.11,59,57.63,21.29,-7.47
4,4,4,7,4,14,7,14,1.1,0.01,FALSE,4.11,585.48,10.27,57,59.65,22.76,-8.18
4,4,4,7,4,14,7,14,1.3,0.01,FALSE,4.11,549.21,9.64,57,59.65,21.35,-7.69
4,4,4,7,4,14,14,4,1.1,0.01,FALSE,3.77,647.09,9.8,66,59.09,22.58,-8.65
4,4,4,7,4,14,14,4,1.3,0.01,FALSE,3.75,605.24,9.17,66,59.09,21.16,-8.14
4,4,4,7,4,14,14,7,1.1,0.01,FALSE,3.35,575.55,9.44,61,59.02,22.8,-9.81
4,4,4,7,4,14,14,7,1.3,0.01,FALSE,3.34,538.71,8.83,61,59.02,21.36,-9.21
4,4,4,7,4,14,14,14,1.1,0.01,FALSE,4.15,603.47,12.07,50,58,27.41,-9.12
4,4,4,7,4,14,14,14,1.3,0.01,FALSE,4.14,566.89,11.34,50,58,25.78,-8.6
4,4,4,7,7,4,4,4,1.1,0.01,FALSE,4.45,582.42,9.55,61,62.3,19.77,-7.35
4,4,4,7,7,4,4,4,1.3,0.01,FALSE,4.45,541.15,8.87,61,62.3,18.37,-6.83
4,4,4,7,7,4,4,7,1.1,0.01,FALSE,4.28,719.83,9.35,77,63.64,19.17,-7.83
4,4,4,7,7,4,4,7,1.3,0.01,FALSE,4.28,668.53,8.68,77,63.64,17.8,-7.27
4,4,4,7,7,4,4,14,1.1,0.01,FALSE,3.61,654.13,8.61,76,60.53,19.67,-8.35
4,4,4,7,7,4,4,14,1.3,0.01,FALSE,3.6,610.48,8.03,76,60.53,18.37,-7.82
4,4,4,7,7,4,7,4,1.1,0.01,FALSE,4.04,589.78,8.19,72,63.89,17.04,-7.46
4,4,4,7,7,4,7,4,1.3,0.01,FALSE,4.04,547.76,7.61,72,63.89,15.83,-6.93
4,4,4,7,7,4,7,7,1.1,0.01,FALSE,4.31,590.89,9.38,63,63.49,19.23,-7.76
4,4,4,7,7,4,7,7,1.3,0.01,FALSE,4.31,548.59,8.71,63,63.49,17.86,-7.21
4,4,4,7,7,4,7,14,1.1,0.01,FALSE,4.33,576.87,9.61,60,63.33,19.74,-7.87
4,4,4,7,7,4,7,14,1.3,0.01,FALSE,4.33,538.45,8.97,60,63.33,18.43,-7.35
4,4,4,7,7,4,14,4,1.1,0.01,FALSE,4.24,668.08,9.54,70,64.29,19.43,-8.25
4,4,4,7,7,4,14,4,1.3,0.01,FALSE,4.23,623.63,8.91,70,64.29,18.15,-7.72
4,4,4,7,7,4,14,7,1.1,0.01,FALSE,3.37,571.79,8.53,67,61.19,19.83,-9.28
4,4,4,7,7,4,14,7,1.3,0.01,FALSE,3.37,533.8,7.97,67,61.19,18.52,-8.67
4,4,4,7,7,4,14,14,1.1,0.01,FALSE,4.82,637.93,11.81,54,64.81,23,-8.79
4,4,4,7,7,4,14,14,1.3,0.01,FALSE,4.82,598.69,11.09,54,64.81,21.58,-8.24
4,4,4,7,7,7,4,4,1.1,0.01,FALSE,4.66,542.36,11.07,49,59.18,23.81,-7.41
4,4,4,7,7,7,4,4,1.3,0.01,FALSE,4.66,503.75,10.28,49,59.18,22.12,-6.88
4,4,4,7,7,7,4,7,1.1,0.01,FALSE,4.42,708.71,9.84,72,63.89,19.91,-7.97
