high_by_point_n,high_by_point_m,low_by_point_n,low_by_point_m,high_by_point_n_on_trend,high_by_point_m_on_trend,low_by_point_n_on_trend,low_by_point_m_on_trend,power_scaling_factor,mintick,debug_mode,Fit Score,Total Pnl%,Avg Pnl% per entry,Trade Count,Winning entry%,Avg Winner%,Avg Loser%
4,4,10,10,4,10,10,10,1.2,0.01,False,4.98,255.96,8.53,30,53.33,20.02,-4.59
4,4,10,10,4,10,10,10,1.3,0.01,False,4.98,255.96,8.53,30,53.33,20.02,-4.59
4,4,10,10,10,4,4,4,1,0.01,False,5.6,410.63,7.6,54,66.67,13.88,-4.96
4,4,10,10,10,4,4,4,1.1,0.01,False,5.6,410.63,7.6,54,66.67,13.88,-4.96
4,4,10,10,10,4,4,4,1.2,0.01,False,5.6,410.63,7.6,54,66.67,13.88,-4.96
4,4,10,10,10,4,4,4,1.3,0.01,False,5.6,410.63,7.6,54,66.67,13.88,-4.96
4,4,10,10,10,4,4,10,1,0.01,False,6.81,489.8,7.77,63,71.43,12.76,-4.68
4,4,10,10,10,4,4,10,1.1,0.01,False,6.81,489.8,7.77,63,71.43,12.76,-4.68
4,4,10,10,10,4,4,10,1.2,0.01,False,6.81,489.8,7.77,63,71.43,12.76,-4.68
4,4,10,10,10,4,4,10,1.3,0.01,False,6.81,489.8,7.77,63,71.43,12.76,-4.68
4,4,10,10,10,4,10,4,1,0.01,False,6.42,475.97,7.68,62,67.74,13.42,-4.39
4,4,10,10,10,4,10,4,1.1,0.01,False,6.42,475.97,7.68,62,67.74,13.42,-4.39
4,4,10,10,10,4,10,4,1.2,0.01,False,6.42,475.97,7.68,62,67.74,13.42,-4.39
4,4,10,10,10,4,10,4,1.3,0.01,False,6.42,475.97,7.68,62,67.74,13.42,-4.39
4,4,10,10,10,4,10,10,1,0.01,False,10.96,429.55,10.48,41,75.61,15.25,-4.31
4,4,10,10,10,4,10,10,1.1,0.01,False,10.96,429.55,10.48,41,75.61,15.25,-4.31
4,4,10,10,10,4,10,10,1.2,0.01,False,10.96,429.55,10.48,41,75.61,15.25,-4.31
4,4,10,10,10,4,10,10,1.3,0.01,False,10.96,429.55,10.48,41,75.61,15.25,-4.31
4,4,10,10,10,10,4,4,1,0.01,False,4.15,292.01,7.3,40,55.0,17.49,-5.16
4,4,10,10,10,10,4,4,1.1,0.01,False,4.15,292.01,7.3,40,55.0,17.49,-5.16
4,4,10,10,10,10,4,4,1.2,0.01,False,4.15,292.01,7.3,40,55.0,17.49,-5.16
4,4,10,10,10,10,4,4,1.3,0.01,False,4.15,292.01,7.3,40,55.0,17.49,-5.16
4,4,10,10,10,10,4,10,1,0.01,False,5.94,386.32,7.57,51,66.67,13.66,-4.6
4,4,10,10,10,10,4,10,1.1,0.01,False,5.94,386.32,7.57,51,66.67,13.66,-4.6
4,4,10,10,10,10,4,10,1.2,0.01,False,5.94,386.32,7.57,51,66.67,13.66,-4.6
4,4,10,10,10,10,4,10,1.3,0.01,False,5.94,386.32,7.57,51,66.67,13.66,-4.6
4,4,10,10,10,10,10,4,1,0.01,False,4.66,343.31,6.6,52,61.54,13.66,-4.69
4,4,10,10,10,10,10,4,1.1,0.01,False,4.66,343.31,6.6,52,61.54,13.66,-4.69
4,4,10,10,10,10,10,4,1.2,0.01,False,4.66,343.31,6.6,52,61.54,13.66,-4.69
